canonical_skill,category,common_aliases
Python,Programming Languages,Python3;Py
Java,Programming Languages,Core Java;JAVA
C++,Programming Languages,CPP;C Plus Plus
C,Programming Languages,C Language;C Programming
C#,Programming Languages,C Sharp;CSharp
JavaScript,Programming Languages,JS;Javascript;Vanilla JS
TypeScript,Programming Languages,TS
Go,Programming Languages,Golang
Rust,Programming Languages,RustLang
Kotlin,Programming Languages,Kotlin Lang
Swift,Programming Languages,SwiftLang
PHP,Programming Languages,Php7;Php8
Ruby,Programming Languages,Ruby Lang
R,Programming Languages,R Language;R Programming
Scala,Programming Languages,Scala Lang
Dart,Programming Languages,Dart Lang
MATLAB,Programming Languages,Matlab
Perl,Programming Languages,Perl5
SQL,Programming Languages,Structured Query Language
Shell Scripting,Programming Languages,Bash;Bash Scripting;Shell
PL/SQL,Programming Languages,PLSQL;Oracle PL SQL
Objective-C,Programming Languages,Objective C;ObjC
React,Frameworks & Libraries,ReactJS;React.js
Angular,Frameworks & Libraries,AngularJS;Angular2+
Vue.js,Frameworks & Libraries,VueJS;Vue
Next.js,Frameworks & Libraries,NextJS;NextJS.org
Node.js,Frameworks & Libraries,NodeJS;NodeJS.org
Express.js,Frameworks & Libraries,ExpressJS;Express
Django,Frameworks & Libraries,Django Framework
Flask,Frameworks & Libraries,Flask Framework
FastAPI,Frameworks & Libraries,Fast API
Spring Boot,Frameworks & Libraries,SpringBoot;Spring
Spring Framework,Frameworks & Libraries,Spring Core
.NET,Frameworks & Libraries,Dot Net;DotNet;ASP.NET
Laravel,Frameworks & Libraries,Laravel PHP
Ruby on Rails,Frameworks & Libraries,Rails;RoR
jQuery,Frameworks & Libraries,Jquery
Bootstrap,Frameworks & Libraries,Bootstrap CSS
Tailwind CSS,Frameworks & Libraries,TailwindCSS;Tailwind
Redux,Frameworks & Libraries,Redux Toolkit
React Native,Frameworks & Libraries,ReactNative
Flutter,Frameworks & Libraries,Flutter SDK
TensorFlow,Frameworks & Libraries,Tensor Flow;TF
PyTorch,Frameworks & Libraries,Torch
Keras,Frameworks & Libraries,Keras API
Scikit-learn,Frameworks & Libraries,Sklearn;Scikit Learn
Pandas,Frameworks & Libraries,Pandas Library
NumPy,Frameworks & Libraries,Numpy
OpenCV,Frameworks & Libraries,Open CV
Hibernate,Frameworks & Libraries,Java Hibernate
JUnit,Frameworks & Libraries,JUnit Testing
Selenium,Frameworks & Libraries,Selenium WebDriver
Jest,Frameworks & Libraries,Jest Testing
Cypress,Frameworks & Libraries,Cypress Testing
GraphQL,Frameworks & Libraries,Graph QL
gRPC,Frameworks & Libraries,GRPC
MySQL,Databases & Data Tools,My SQL
PostgreSQL,Databases & Data Tools,Postgres;PostgresSQL
MongoDB,Databases & Data Tools,Mongo DB;Mongo
Oracle Database,Databases & Data Tools,Oracle DB;OracleSQL
Microsoft SQL Server,Databases & Data Tools,MS SQL Server;SQL Server;MSSQL
